,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯
工商银行,1.0,0.7640092620809228,0.7486015266440084,0.4608090589359644,0.490129114208779,0.4004260280307446,0.26414515481591544,-0.07579194118926769,0.22314002435395044,0.004606698307106936,0.03551860088912698,0.16784213268587178,0.08882314502869598,0.14632271195363727,0.03828635725170401,-0.014276223788287195,-0.2172838321860927,-0.01513218978740522,0.013149278518702994,-0.06526678818289325,0.0014076524558017428,-0.07337606511434597,0.3589544451756001,0.44765613496924644,0.1695126302284713,0.042063244253294184,-0.05250473543076226,0.18266291357275025,0.4311266692193742,-0.10529642564213473
建设银行,0.7640092620809228,1.0,0.7305205527525549,0.4642557675793115,0.48383022195826103,0.40853709851557274,0.27028838941691274,-0.05243905302793426,0.2677567514709853,0.0025118065425745488,0.021454681712559702,0.14969245623495325,0.08890009539018104,0.13227264714515757,0.04628448079707232,-0.0017057094862974892,-0.18339313137929567,-0.0001431696472543888,0.044633032498105005,-0.016833995921691013,0.0360237475218487,-0.01164356587186958,0.3773824021831163,0.4403493923747389,0.19075545883061104,0.09651219306551286,-0.03131883129881557,0.24226677318138176,0.4513238775341166,-0.029022410068711486
农业银行,0.7486015266440084,0.7305205527525549,1.0,0.38649702418905424,0.43782892007227103,0.33712508695230226,0.19284628518404334,-0.14745650209303132,0.20197345715059828,-0.07760960095826404,-0.0404039238001345,0.06345076171221317,0.0017408165503927664,0.04273514589535567,-0.02870774044311228,-0.04727215020544601,-0.22621460883127567,-0.08054326807072949,-0.04680529791535354,-0.11243639994448684,-0.05091422802343028,-0.1098338312360016,0.37934213884163864,0.4465870580535137,0.16405906662560743,0.02111355616773006,-0.10517771019105587,0.1543965631853173,0.4001128413586354,-0.11513006659594756
招商银行,0.4608090589359644,0.4642557675793115,0.38649702418905424,1.0,0.7048602655888498,0.7200764330286016,0.6942431601610756,0.280769859258512,0.6224468522412017,0.44025275355890653,0.41125988962289384,0.5023627626467135,0.4945839807709098,0.4206557817717453,0.49772569481072143,0.31449836875233467,0.19425844183406413,0.33165655806226374,0.43144984837096123,0.36124308315103665,0.3911304988928062,0.2999836305429536,0.362316028617393,0.2517992961402694,0.3028900064071729,0.4059835184443039,0.3973268203397979,0.37914097088300264,0.25500695356458175,0.22807218391348014
兴业银行,0.490129114208779,0.48383022195826103,0.43782892007227103,0.7048602655888498,1.0,0.6982356611457561,0.643802162680436,0.22958679103095878,0.5821162158067068,0.42625516803075364,0.396913112542443,0.42017975450130157,0.40665119002475103,0.384120751019805,0.43147596517885894,0.24298591800797603,0.12394108420904622,0.26734056178412186,0.3554860136455406,0.2876023058772991,0.3558073134518989,0.23645068319114548,0.3519006364256264,0.3235831779932763,0.2763414618547609,0.3457391651917865,0.33626234537018135,0.3612788168707114,0.31223188932354407,0.22243023135857562
平安银行,0.4004260280307446,0.40853709851557274,0.33712508695230226,0.7200764330286016,0.6982356611457561,1.0,0.717939205533849,0.3624970546917239,0.6493175794717144,0.5347232243393866,0.5011212903486869,0.5228552536175821,0.5790676050243008,0.4925783109859617,0.5547582912707079,0.36005855489191313,0.252507831062001,0.38985588984892755,0.4478985820431237,0.35902470278273596,0.43171317695810313,0.3280150609583985,0.36115920667722606,0.260425894875928,0.2942128294825646,0.4402551328366447,0.4910989357643013,0.3698894343001995,0.22492703565925815,0.3345102277579502
中国平安,0.26414515481591544,0.27028838941691274,0.19284628518404334,0.6942431601610756,0.643802162680436,0.717939205533849,1.0,0.5182335642316348,0.7801577044601432,0.5782520922943889,0.5325365750799754,0.6074244542641789,0.6472738199129852,0.549326893018533,0.6790549168585609,0.45672529777334053,0.35174276809393634,0.5463432667493598,0.5726282484280161,0.5031723034003591,0.5664524291426889,0.3735165476469754,0.2979425017209377,0.18996757979701875,0.2828186542423542,0.462429197745591,0.6141377485306725,0.3611417050146046,0.1784933746299528,0.3789744178512022
中信证券,-0.07579194118926769,-0.05243905302793426,-0.14745650209303132,0.280769859258512,0.22958679103095878,0.3624970546917239,0.5182335642316348,1.0,0.5177336026789386,0.5019762043268853,0.4108076842830012,0.4677635064929298,0.5234251195391386,0.46233602515910416,0.573892642554011,0.4277141963864632,0.47302453723605986,0.5136085216430971,0.4574088788341845,0.40167500032487846,0.5063628152423933,0.3519464597291534,0.05185184945481766,-0.08685803971714129,0.14951952464869858,0.29860340885527614,0.6113086846342808,0.16958065755758717,-0.025208577097371527,0.4514032707573422
中国人寿,0.22314002435395044,0.2677567514709853,0.20197345715059828,0.6224468522412017,0.5821162158067068,0.6493175794717144,0.7801577044601432,0.5177336026789386,1.0,0.5148132618935194,0.4571952847637419,0.4956891973411769,0.5610604701138032,0.44715452352842505,0.6192679633818492,0.4597812470542664,0.31498460988170557,0.515637757122996,0.5641934297316106,0.45326892372027683,0.5124002893820107,0.35608851763781163,0.28483594345822694,0.1673393940186369,0.26503444574082186,0.4218890034965705,0.5513615449632765,0.3597070944815046,0.1903274191015431,0.36569550497295383
万科A,0.004606698307106936,0.0025118065425745488,-0.07760960095826404,0.44025275355890653,0.42625516803075364,0.5347232243393866,0.5782520922943889,0.5019762043268853,0.5148132618935194,1.0,0.8397836796592354,0.4722619034349161,0.5847320471726112,0.4856783581312398,0.561922889835478,0.37502675178399364,0.32903538723491715,0.42887683118153197,0.43341927942097946,0.38885160480647146,0.4474505826829094,0.3214165428109468,0.11373625942715516,-0.036145664585910474,0.1973606948595713,0.40949652237333967,0.634393044776352,0.18465985670287152,0.0092836443902697,0.3143292432192759
保利发展,0.03551860088912698,0.021454681712559702,-0.0404039238001345,0.41125988962289384,0.396913112542443,0.5011212903486869,0.5325365750799754,0.4108076842830012,0.4571952847637419,0.8397836796592354,1.0,0.4682678669987937,0.5669740041804902,0.48812061307852517,0.529624578037996,0.37750959871348005,0.24875109806263138,0.3604125755983403,0.38877355938202457,0.3421251964491646,0.425542974931707,0.2723517771606807,0.14585228717063237,0.01573258178847175,0.2713666227283275,0.4204590655826192,0.5810168402002874,0.18750589952149824,0.02663896535862596,0.23409318397142506
贵州茅台,0.16784213268587178,0.14969245623495325,0.06345076171221317,0.5023627626467135,0.42017975450130157,0.5228552536175821,0.6074244542641789,0.4677635064929298,0.4956891973411769,0.4722619034349161,0.4682678669987937,1.0,0.8140995375073142,0.6962656024651339,0.6599867788071389,0.47265905901118793,0.3149784934105964,0.5404313949930986,0.49442907031077205,0.434608620372343,0.4757298191937383,0.3673597743761023,0.21145384397733427,0.18401353227998643,0.24253904049142336,0.3680130024122566,0.6002452993820077,0.2861775682452047,0.1452175826493147,0.2839457048541925
五粮液,0.08882314502869598,0.08890009539018104,0.0017408165503927664,0.4945839807709098,0.40665119002475103,0.5790676050243008,0.6472738199129852,0.5234251195391386,0.5610604701138032,0.5847320471726112,0.5669740041804902,0.8140995375073142,1.0,0.707539058617481,0.7289960652400498,0.5457086945184035,0.37005883736135764,0.5980588647577965,0.5461894235981455,0.47001735767977276,0.5349092215051904,0.41942317720407174,0.21393745881077114,0.13330701971275566,0.26194445044118575,0.4354231496895263,0.6778213804712914,0.302614761994474,0.0882450041027922,0.3706524385530636
伊利股份,0.14632271195363727,0.13227264714515757,0.04273514589535567,0.4206557817717453,0.384120751019805,0.4925783109859617,0.549326893018533,0.46233602515910416,0.44715452352842505,0.4856783581312398,0.48812061307852517,0.6962656024651339,0.707539058617481,1.0,0.6050492876574892,0.44269365643964365,0.2858542033000837,0.5199684482148142,0.4435277681304868,0.347715106533094,0.49450585729095986,0.34374480364838667,0.22680885625499367,0.21536443398625194,0.27301621529100073,0.4191248641171899,0.5814040165515174,0.31531897746556087,0.18155845902402348,0.29467101462006684
海天味业,0.03828635725170401,0.04628448079707232,-0.02870774044311228,0.49772569481072143,0.43147596517885894,0.5547582912707079,0.6790549168585609,0.573892642554011,0.6192679633818492,0.561922889835478,0.529624578037996,0.6599867788071389,0.7289960652400498,0.6050492876574892,1.0,0.5642687115201247,0.4449427762448634,0.6479754476026841,0.5623222875195064,0.5440995042528054,0.5636522957183725,0.4435535953772312,0.20094295622201544,0.08732183435097912,0.18750762427858866,0.42958998498075174,0.7011489647791259,0.3100926704955434,0.08789752530721147,0.36863140914437714
恒瑞医药,-0.014276223788287195,-0.0017057094862974892,-0.04727215020544601,0.31449836875233467,0.24298591800797603,0.36005855489191313,0.45672529777334053,0.4277141963864632,0.4597812470542664,0.37502675178399364,0.37750959871348005,0.47265905901118793,0.5457086945184035,0.44269365643964365,0.5642687115201247,1.0,0.49692850372128533,0.5449386276811813,0.5279817838699626,0.4804779246757745,0.48989062913266035,0.3844026817458796,0.1050316370391026,0.0009370769429840039,0.13277380597586247,0.4053207181158446,0.615963942682157,0.23873869857158914,0.05563268089204694,0.3494682346025688
药明康德,-0.2172838321860927,-0.18339313137929567,-0.22621460883127567,0.19425844183406413,0.12394108420904622,0.252507831062001,0.35174276809393634,0.47302453723605986,0.31498460988170557,0.32903538723491715,0.24875109806263138,0.3149784934105964,0.37005883736135764,0.2858542033000837,0.4449427762448634,0.49692850372128533,1.0,0.45471884533179224,0.5034014284520828,0.44131133930106364,0.4379094526736641,0.37182755878189844,-0.05744939973750076,-0.18606614268027433,0.01999799936874587,0.3180063739994092,0.5413169971461812,0.09682806653825404,-0.10146803799177646,0.4288662095378168
迈瑞医疗,-0.01513218978740522,-0.0001431696472543888,-0.08054326807072949,0.33165655806226374,0.26734056178412186,0.38985588984892755,0.5463432667493598,0.5136085216430971,0.515637757122996,0.42887683118153197,0.3604125755983403,0.5404313949930986,0.5980588647577965,0.5199684482148142,0.6479754476026841,0.5449386276811813,0.45471884533179224,1.0,0.6056877482315662,0.547415523394913,0.536920071217141,0.4844544170388446,0.17779328404045946,0.08284990518900454,0.14762535138919902,0.350384886760272,0.562787909161946,0.33108557003811795,0.08351764796378337,0.3808648768950704
宁德时代,0.013149278518702994,0.044633032498105005,-0.04680529791535354,0.43144984837096123,0.3554860136455406,0.4478985820431237,0.5726282484280161,0.4574088788341845,0.5641934297316106,0.43341927942097946,0.38877355938202457,0.49442907031077205,0.5461894235981455,0.4435277681304868,0.5623222875195064,0.5279817838699626,0.5034014284520828,0.6056877482315662,1.0,0.6127105565744662,0.5409602109110817,0.4443333882303033,0.15570064166463668,0.03515406789064032,0.12892520972150975,0.42440212886088396,0.5960549483084968,0.3018692740106612,0.1103146152221121,0.4210701958262847
比亚迪,-0.06526678818289325,-0.016833995921691013,-0.11243639994448684,0.36124308315103665,0.2876023058772991,0.35902470278273596,0.5031723034003591,0.40167500032487846,0.45326892372027683,0.38885160480647146,0.3421251964491646,0.434608620372343,0.47001735767977276,0.347715106533094,0.5440995042528054,0.4804779246757745,0.44131133930106364,0.547415523394913,0.6127105565744662,1.0,0.5130185389683947,0.4711392489600193,0.12112191816231037,0.011638019266330644,0.2169990996433965,0.38333476749856377,0.49913770531231455,0.27629188498876894,0.021474997526717138,0.4452225563019663
海康威视,0.0014076524558017428,0.0360237475218487,-0.05091422802343028,0.3911304988928062,0.3558073134518989,0.43171317695810313,0.5664524291426889,0.5063628152423933,0.5124002893820107,0.4474505826829094,0.425542974931707,0.4757298191937383,0.5349092215051904,0.49450585729095986,0.5636522957183725,0.48989062913266035,0.4379094526736641,0.536920071217141,0.5409602109110817,0.5130185389683947,1.0,0.4573716668462484,0.18341275469364196,0.05096079217653252,0.2328148078458022,0.46079947143191247,0.5935031330789472,0.315834203672072,0.14206291935940543,0.5708130888117171
立讯精密,-0.07337606511434597,-0.01164356587186958,-0.1098338312360016,0.2999836305429536,0.23645068319114548,0.3280150609583985,0.3735165476469754,0.3519464597291534,0.35608851763781163,0.3214165428109468,0.2723517771606807,0.3673597743761023,0.41942317720407174,0.34374480364838667,0.4435535953772312,0.3844026817458796,0.37182755878189844,0.4844544170388446,0.4443333882303033,0.4711392489600193,0.4573716668462484,1.0,0.11357513550298748,-0.008402364066088406,0.19689736250399412,0.3452631554069704,0.4318278675351572,0.27332622210214386,0.04949037903674021,0.4892480290432801
中国石油,0.3589544451756001,0.3773824021831163,0.37934213884163864,0.362316028617393,0.3519006364256264,0.36115920667722606,0.2979425017209377,0.05185184945481766,0.28483594345822694,0.11373625942715516,0.14585228717063237,0.21145384397733427,0.21393745881077114,0.22680885625499367,0.20094295622201544,0.1050316370391026,-0.05744939973750076,0.17779328404045946,0.15570064166463668,0.12112191816231037,0.18341275469364196,0.11357513550298748,1.0,0.6305084771101451,0.5504354936650245,0.30551801785877336,0.16273986267646878,0.33017586652950853,0.47234000121900493,0.20614296711561422
中国神华,0.44765613496924644,0.4403493923747389,0.4465870580535137,0.2517992961402694,0.3235831779932763,0.260425894875928,0.18996757979701875,-0.08685803971714129,0.1673393940186369,-0.036145664585910474,0.01573258178847175,0.18401353227998643,0.13330701971275566,0.21536443398625194,0.08732183435097912,0.0009370769429840039,-0.18606614268027433,0.08284990518900454,0.03515406789064032,0.011638019266330644,0.05096079217653252,-0.008402364066088406,0.6305084771101451,1.0,0.36213847932328846,0.14938583871051325,-0.019187463339626384,0.31146013043793086,0.4523734731868202,-0.02510152181120994
紫金矿业,0.1695126302284713,0.19075545883061104,0.16405906662560743,0.3028900064071729,0.2763414618547609,0.2942128294825646,0.2828186542423542,0.14951952464869858,0.26503444574082186,0.1973606948595713,0.2713666227283275,0.24253904049142336,0.26194445044118575,0.27301621529100073,0.18750762427858866,0.13277380597586247,0.01999799936874587,0.14762535138919902,0.12892520972150975,0.2169990996433965,0.2328148078458022,0.19689736250399412,0.5504354936650245,0.36213847932328846,1.0,0.36723815972975005,0.23385932968956558,0.3284539413741509,0.2012866766210375,0.23653755845402705
三一重工,0.042063244253294184,0.09651219306551286,0.02111355616773006,0.4059835184443039,0.3457391651917865,0.4402551328366447,0.462429197745591,0.29860340885527614,0.4218890034965705,0.40949652237333967,0.4204590655826192,0.3680130024122566,0.4354231496895263,0.4191248641171899,0.42958998498075174,0.4053207181158446,0.3180063739994092,0.350384886760272,0.42440212886088396,0.38333476749856377,0.46079947143191247,0.3452631554069704,0.30551801785877336,0.14938583871051325,0.36723815972975005,1.0,0.4601292457480479,0.40021048644184354,0.13458422064341546,0.4144612931948881
中国中免,-0.05250473543076226,-0.03131883129881557,-0.10517771019105587,0.3973268203397979,0.33626234537018135,0.4910989357643013,0.6141377485306725,0.6113086846342808,0.5513615449632765,0.634393044776352,0.5810168402002874,0.6002452993820077,0.6778213804712914,0.5814040165515174,0.7011489647791259,0.615963942682157,0.5413169971461812,0.562787909161946,0.5960549483084968,0.49913770531231455,0.5935031330789472,0.4318278675351572,0.16273986267646878,-0.019187463339626384,0.23385932968956558,0.4601292457480479,1.0,0.23109332849297698,0.06735794543799163,0.4997889618019983
美的集团,0.18266291357275025,0.24226677318138176,0.1543965631853173,0.37914097088300264,0.3612788168707114,0.3698894343001995,0.3611417050146046,0.16958065755758717,0.3597070944815046,0.18465985670287152,0.18750589952149824,0.2861775682452047,0.302614761994474,0.31531897746556087,0.3100926704955434,0.23873869857158914,0.09682806653825404,0.33108557003811795,0.3018692740106612,0.27629188498876894,0.315834203672072,0.27332622210214386,0.33017586652950853,0.31146013043793086,0.3284539413741509,0.40021048644184354,0.23109332849297698,1.0,0.17705366849635545,0.20348028084762076
中国移动,0.4311266692193742,0.4513238775341166,0.4001128413586354,0.25500695356458175,0.31223188932354407,0.22492703565925815,0.1784933746299528,-0.025208577097371527,0.1903274191015431,0.0092836443902697,0.02663896535862596,0.1452175826493147,0.0882450041027922,0.18155845902402348,0.08789752530721147,0.05563268089204694,-0.10146803799177646,0.08351764796378337,0.1103146152221121,0.021474997526717138,0.14206291935940543,0.04949037903674021,0.47234000121900493,0.4523734731868202,0.2012866766210375,0.13458422064341546,0.06735794543799163,0.17705366849635545,1.0,0.13439581216209867
中兴通讯,-0.10529642564213473,-0.029022410068711486,-0.11513006659594756,0.22807218391348014,0.22243023135857562,0.3345102277579502,0.3789744178512022,0.4514032707573422,0.36569550497295383,0.3143292432192759,0.23409318397142506,0.2839457048541925,0.3706524385530636,0.29467101462006684,0.36863140914437714,0.3494682346025688,0.4288662095378168,0.3808648768950704,0.4210701958262847,0.4452225563019663,0.5708130888117171,0.4892480290432801,0.20614296711561422,-0.02510152181120994,0.23653755845402705,0.4144612931948881,0.4997889618019983,0.20348028084762076,0.13439581216209867,1.0
